UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
7391,15402,20,ezy,stf002,interactive,60,2021-10-11T01:04:58,2021-10-11T01:06:15,2021-10-11T01:06:50,FAILED,116:0,,,1,2021-10-11T01:04:58,,00:00:00,3584000,35,,,,normal,0,/autofs/nccs-svm1_home2/ezy/borg_mpi,,,,,,,batch,PartitionNodeLimit,00:00:00,800,,,0:116,,,800M,800,800,00:01:17,61600,102400,00:00:00,800,00:00:00,,,billing=800;cpu=800;mem=800M;node=800,billing=102400;cpu=102400;node=800,,,SchedMain,,,
7391,15402,21,ezy,stf002,interactive,60,2021-10-11T01:09:38,2021-10-11T01:09:38,2021-10-11T01:10:33,FAILED,105:0,,,1,2021-10-11T01:09:38,,00:00:00,5632000,55,,,,normal,0,/autofs/nccs-svm1_home2/ezy/borg_mpi,,,,,,,batch,None,00:00:00,800,,,0:105,,,800M,800,800,00:00:00,0,102400,00:00:00,800,00:00:00,,,billing=800;cpu=800;mem=800M;node=800,billing=102400;cpu=102400;node=800,,,SchedSubmit,,,
7391,15402,22,ezy,stf002,interactive,60,2021-10-11T01:17:35,2021-10-11T01:17:35,2021-10-11T01:18:30,FAILED,105:0,,,1,2021-10-11T01:17:35,,00:00:00,5632000,55,,,,normal,0,/autofs/nccs-svm1_home2/ezy/borg_mpi,,,,,,,batch,Prolog,00:00:00,800,,,0:105,,,800M,800,800,00:00:00,0,102400,00:00:00,800,00:00:00,,,billing=800;cpu=800;mem=800M;node=800,billing=102400;cpu=102400;node=800,,,SchedSubmit,,,
7391,15402,23,ezy,stf002,interactive,60,2021-10-11T01:23:49,2021-10-11T01:23:49,2021-10-11T01:24:44,FAILED,105:0,,,1,2021-10-11T01:23:49,,00:00:00,5632000,55,,,,normal,0,/autofs/nccs-svm1_home2/ezy/borg_mpi,,,,,,,batch,None,00:00:00,800,,,0:105,,,800M,800,800,00:00:00,0,102400,00:00:00,800,00:00:00,,,billing=800;cpu=800;mem=800M;node=800,billing=102400;cpu=102400;node=800,,,SchedSubmit,,,
7391,15402,24,ezy,stf002,interactive,60,2021-10-11T01:24:36,2021-10-11T01:24:52,2021-10-11T01:27:43,COMPLETED,0:0,,,1,2021-10-11T01:24:36,,00:00:00,17510400,171,,,,normal,0,/autofs/nccs-svm1_home2/ezy,,,,,,,batch,None,00:00:00,800,,,0:15,,,800M,800,800,00:00:16,12800,102400,00:00:00,800,00:00:00,,,billing=800;cpu=800;mem=800M;node=800,billing=102400;cpu=102400;node=800,,,SchedMain,,,
7391,15402,25,ezy,stf002,interactive,60,2021-10-11T01:38:19,2021-10-11T01:38:19,2021-10-11T01:38:54,COMPLETED,0:0,,,1,2021-10-11T01:38:19,,00:00:00,3584000,35,,,,normal,0,/autofs/nccs-svm1_home2/ezy,,,,,,,batch,None,00:00:00,800,,,0:0,,,800M,800,800,00:00:00,0,102400,00:00:00,800,00:00:00,,,billing=800;cpu=800;mem=800M;node=800,billing=102400;cpu=102400;node=800,,,SchedSubmit,,,
58707,1504,2965,mcmahon,ven113,runit.sh,10,2021-10-11T07:50:52,2021-10-11T07:50:53,2021-10-11T07:50:55,COMPLETED,0:0,,,1,2021-10-11T07:50:52,,00:00:00,512,2,,,,normal,0,/autofs/nccs-svm1_home1/mcmahon/mpi_tests,,,,,,,batch,None,00:00:00,2,,,0:0,,,2M,2,2,00:00:01,2,256,00:00:00,2,00:00:00,,,billing=2;cpu=2;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedMain,,,
58707,1504,2966,mcmahon,ven113,interactive,60,2021-10-11T07:52:16,2021-10-11T07:52:16,2021-10-11T08:51:47,COMPLETED,0:0,,,1,2021-10-11T07:52:16,,00:00:00,914176,3571,,,,normal,0,/autofs/nccs-svm1_home1/mcmahon/mpi_tests,,,,,,,batch,None,00:00:00,2,,,0:0,,,2M,2,2,00:00:00,0,256,00:00:00,2,00:00:00,,,billing=2;cpu=2;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedSubmit,,,
58707,1504,2967,mcmahon,ven113,run_hpl,60,2021-10-11T08:52:05,2021-10-11T08:52:06,2021-10-11T08:53:42,COMPLETED,0:0,,,1,2021-10-11T08:52:05,,00:00:00,12288,96,,,,normal,0,/autofs/nccs-svm1_home1/mcmahon/rocHPL.lockhart440/run_scripts_rowmajor,,,,,,,batch,None,00:00:00,1,,,127:0,,,1M,1,1,00:00:01,64,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedMain,,,
58707,1504,2968,mcmahon,ven113,run_hpl,60,2021-10-11T08:55:30,2021-10-11T08:55:31,2021-10-11T08:57:08,COMPLETED,0:0,,,1,2021-10-11T08:55:30,,00:00:00,12416,97,,,,normal,0,/autofs/nccs-svm1_home1/mcmahon/rocHPL.lockhart440/run_scripts_rowmajor,,,,,,,batch,None,00:00:00,1,,,127:0,,,1M,1,1,00:00:01,64,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedMain,,,
