JobID,UID,ReqNodes,TimelimitRaw,ElapsedRaw
261037,58707,900,180,343
261038,58707,900,180,393
261039,58707,900,180,348
261040,58707,900,180,418
261041,58707,900,180,327
261042,58707,900,180,383
261043,58707,5K,240,314
261044,58707,5K,240,0
261045,58707,5K,240,0
261046,58707,5K,240,0
261047,58707,86,30,84
261048,58707,98,30,83
261049,58707,105,30,78
261050,58707,98,30,90
261051,58707,94,30,69
261052,58707,97,30,72
261053,58707,96,30,84
261054,58707,102,30,95
261055,58707,106,30,91
261056,58707,104,30,104
261057,58707,99,30,86
261058,58707,108,30,88
261059,58707,102,30,91
261060,58707,104,30,92
261061,58707,110,30,85
261062,58707,98,30,80
261063,58707,102,30,83
261064,58707,102,30,82
261065,58707,111,30,93
261066,58707,109,30,94
261067,58707,111,30,97
261068,58707,104,30,89
261069,58707,104,30,104
261070,58707,100,30,87
261071,58707,92,30,82
261072,58707,103,30,90
261073,58707,95,30,83
261074,58707,93,30,83
261075,58707,82,30,83
261076,58707,97,30,86
261077,58707,71,30,79
261078,58707,77,30,105
261079,58707,95,30,84
261080,58707,105,30,97
261081,58707,104,30,102
261082,58707,83,30,97
261083,58707,86,30,62
261084,58707,98,30,101
261085,58707,106,30,94
261086,58707,81,30,96
261087,58707,83,30,89
261088,58707,94,30,124
261089,58707,95,30,95
261090,58707,93,30,94
261091,58707,97,30,102
261092,58707,100,30,109
261093,58707,87,30,97
261094,58707,7,30,65
261095,58707,9,30,60
261096,58707,15,30,62
261097,58707,64,30,89
261098,58707,95,30,90
261099,58707,103,30,90
261100,58707,96,30,84
261101,58707,88,30,87
261102,58707,104,30,104
261103,58707,100,30,99
261104,58707,85,30,87
261105,58707,84,30,90
261106,58707,91,30,96
261107,58707,92,30,86
261108,58707,101,30,98
261109,58707,89,30,90
261110,58707,83,30,94
261111,58707,97,30,90
261112,58707,185,30,60
261113,58707,203,30,39
261114,58707,192,30,36
261115,58707,96,30,32
261116,58707,208,30,76
261117,58707,203,30,51
261118,58707,210,30,50
261119,58707,214,30,51
261120,58707,200,30,51
261121,58707,102,30,50
261122,58707,220,30,63
261123,58707,112,30,50
261124,58707,208,30,54
261125,58707,192,30,55
261126,58707,198,30,54
261127,58707,176,30,52
261128,58707,97,30,46
261129,58707,71,30,52
261130,58707,172,30,52
261131,58707,209,30,54
261132,58707,170,30,51
261133,58707,185,30,0
261134,58707,187,30,52
261135,58707,189,30,54
261136,58707,188,30,52
261137,58707,198,30,25
261138,58707,94,30,50
261139,58707,24,30,48
261140,58707,159,30,48
261141,58707,199,30,49
261142,58707,192,30,48
261143,58707,186,30,48
261144,58707,175,30,48
261145,58707,193,30,47
261146,58707,172,30,45
261147,58707,180,30,30
261148,58707,580,30,318
261149,58707,304,30,284
261150,58707,627,30,295
261151,58707,302,30,133
261152,58707,540,30,144
261153,58707,566,30,278
261154,58707,340,30,169
261155,58707,477,30,117
261156,58707,564,30,291
261157,58707,316,30,160
261158,58707,550,30,175
261159,58707,554,30,170
261160,58707,269,30,137
261161,58707,884,30,112
261162,58707,929,30,99
261163,58707,1106,30,113
261164,58707,817,30,87
261165,58707,880,30,121
261166,58707,1104,30,97
261167,58707,269,30,56
261168,58707,5525,30,432
261169,58707,5K,240,90
261170,58707,1K,240,2086
261171,58707,1K,240,192
261172,58707,1K,240,812
261173,58707,1K,240,1124
261174,58707,1K,240,105
261175,11685,1K,60,677
261176,11685,2K,60,675
261177,11685,1K,120,213
261178,11685,4K,60,676
261179,11685,4.50K,60,675
261180,11685,2K,120,746
261181,11685,5K,60,676
261182,11685,4K,120,738
261183,11685,1K,120,696
261184,11685,5K,120,759
261185,11685,1K,60,677
261186,11685,2K,60,312
261187,58707,1K,240,0
261188,58707,1K,240,0
261189,58707,1K,240,0
261190,58707,1K,240,0
261191,58707,1K,240,0
261192,11685,4K,60,3628
261193,11685,4.50K,60,674
261194,11685,2K,120,210
261195,11685,5K,60,3609
261196,58707,64,120,0
261197,58707,64,120,0
261198,58707,64,120,0
261199,58707,64,120,0
261200,58707,64,120,0
261201,58707,64,120,0
261202,58707,64,120,0
261203,58707,64,120,0
261204,58707,64,120,0
261205,58707,64,120,0
261206,58707,64,120,0
261207,58707,64,120,0
261208,58707,64,120,0
261209,58707,64,120,4467
261210,11685,1K,120,750
261211,11685,4K,120,545
261212,11685,5K,120,458
261213,11685,2K,60,717
261214,11685,1K,60,315
261215,2435,2K,60,3251
261216,11685,4.50K,60,3609
261217,11685,2K,120,736
261218,2435,3872,90,2345
261219,2435,3872,90,174
261220,2435,3872,90,0
261221,2435,3872,90,0
261222,58707,64,120,4263
261223,11685,4K,120,1439
261224,11685,1K,120,744
261225,11685,5K,120,740
261226,11685,1K,60,674
261227,2435,3872,90,768
261228,2435,3872,90,536
261229,2435,2K,90,690
261230,2435,512,90,1022
261231,2435,512,90,155
261232,2435,512,90,124
261233,58707,64,120,4567
261234,58707,64,120,4591
261235,58707,64,120,4564
261236,58707,64,120,4570
261237,11685,1K,240,10267
261238,11685,1K,60,1067
261239,2435,512,90,1365
261240,11685,1K,120,1149
261241,11685,2K,120,1428
261242,58707,4800,240,1591
261243,11685,4K,120,751
261244,11685,5K,120,758
261245,11685,1K,60,719
261246,11685,1K,120,892
261247,11685,2K,120,983
261248,11685,4K,120,773
261249,11685,5K,120,774
261250,2435,72,90,184
261251,11685,1K,60,1025
261252,11685,1K,120,1132
261253,11685,2K,120,7206
261254,11685,4K,120,749
261255,11685,5K,120,262
261256,11685,1K,60,285
261257,11685,1K,120,688
261258,15447,1,60,395
261259,58707,4800,240,433
261260,11685,4K,120,752
261261,11685,5K,120,743
261262,11685,1K,60,810
261263,11685,1K,120,574
261264,11685,4K,120,334
261265,11685,1K,60,674
261266,11685,1K,120,569
261267,11685,2K,60,677
261268,11685,4K,60,673
261269,11685,4.50K,60,673
261270,11685,2K,120,741
261271,11685,5K,60,674
261272,11685,4K,120,742
261273,11685,5K,120,808
261274,6432,1,30,1215
261275,6432,1,15,68
261276,6432,16,15,452
261277,6432,1,15,417
261278,6432,4,15,519
261279,6432,1,15,227
261280,6432,1,15,303
261281,11685,5K,120,745
261282,11685,1K,120,743
261283,11685,1K,60,3614
261284,11685,4K,120,742
261285,11685,1K,60,676
261286,11685,1K,120,577
261287,11685,2K,60,310
261288,11685,4K,60,676
261289,11685,4.50K,60,677
261290,11685,2K,120,742
261291,11685,5K,60,677
261292,11685,4K,120,743
261293,11685,5K,120,744
261294,11685,5K,120,742
261295,11685,1K,120,1409
261296,11685,4K,120,1491
261297,11685,2K,60,674
261298,11685,1K,120,681
261299,11685,1K,60,286
261300,11685,4K,60,675
261301,11685,4.50K,60,675
261302,11685,2K,120,745
261303,11685,5K,60,677
261304,11685,4K,120,744
261305,11685,5K,120,743
261306,11685,5K,120,743
261307,11685,1K,120,759
261308,11685,4K,120,739
261309,11685,1K,60,676
261310,11685,2K,60,672
261311,11685,1K,120,660
261312,11685,4K,60,676
261313,11685,4.50K,60,677
261314,11685,2K,120,742
261315,11685,5K,60,685
261316,11685,4K,120,743
261317,11685,5K,120,743
261318,11685,5K,120,742
261319,11685,1K,120,817
261320,11685,4K,120,342
261321,11685,1K,60,334
261322,11685,1K,120,570
261323,11685,2K,60,303
261324,11685,4K,60,675
261325,58707,64,120,49
261326,58707,64,120,5208
261327,58707,64,120,1668
261328,58707,64,120,4928
261329,11685,4.50K,60,675
261330,11685,2K,120,740
261331,11685,5K,60,672
261332,11685,4K,120,531
261333,11685,5K,120,744
261334,58707,64,120,53
261335,58707,64,120,48
261336,11685,5K,120,745
261337,58707,64,120,76
261338,58707,64,120,69
261339,11685,4K,120,743
261340,11685,1K,60,243
261341,11685,2K,60,676
261342,11685,1K,120,661
261343,58707,64,120,48
261344,58707,64,120,48
261345,58707,64,120,48
261346,58707,64,120,48
261347,11685,1K,120,651
261348,11685,4K,60,676
261349,11685,4.50K,60,675
261350,11685,2K,120,742
261351,11685,5K,60,676
261352,58707,64,120,48
261353,58707,64,120,48
261354,58707,64,120,5473
261355,11685,5K,120,744
261356,11685,5K,120,746
261357,11685,1K,60,1465
261358,11685,4K,120,1926
261359,11685,1K,120,746
261360,11685,1K,120,738
261361,11685,2K,60,303
261362,11685,4K,60,677
261363,11685,4.50K,60,675
261364,11685,2K,120,825
261365,58707,64,120,4639
261366,11685,5K,60,673
261367,11685,5K,120,737
261368,11685,5K,120,744
261369,11685,1K,60,1372
261370,11685,4K,120,2014
261371,11685,1K,120,926
261372,11685,2K,60,675
261373,11685,1K,120,658
261374,11685,4K,60,407
261375,11685,4.50K,60,676
261376,11685,2K,120,741
261377,11685,5K,60,675
261378,11685,5K,120,745
261379,11685,5K,120,742
261380,58707,64,120,7201
261381,11685,1K,60,675
261382,11685,4K,120,7217
261383,11685,1K,120,744
261384,11685,1K,120,745
261385,11685,2K,60,675
261386,11685,4K,60,3610
261387,11685,4.50K,60,676
261388,11685,2K,120,1232
261389,11685,5K,60,676
261390,11685,5K,120,220
261391,11685,5K,120,407
261392,11685,1K,60,672
261393,11685,1K,120,736
261394,11685,1K,120,557
261395,58707,64,120,4669
261396,11685,2K,60,3621
261397,58707,64,120,4761
261398,11685,4.50K,60,677
261399,11685,2K,120,1182
261400,11685,5K,60,120
261401,11685,5K,120,207
261402,11685,5K,120,199
261403,11685,1K,120,635
261404,11685,1K,60,347
261405,11685,1K,120,672
261406,11685,4.50K,60,675
261407,11685,2K,120,941
261408,11685,5K,60,676
261409,11685,5K,120,212
261410,11685,5K,120,222
261411,11685,1K,60,308
261412,11685,1K,120,374
261413,11685,1K,120,571
261414,11685,4.50K,60,676
261415,11685,2K,120,521
261416,11685,5K,60,3621
261417,11685,5K,120,738
261418,11685,5K,120,222
261419,11685,1K,60,302
261420,11685,1K,120,374
261421,11685,1K,120,642
261422,11685,4.50K,60,673
261423,11685,2K,120,746
261424,58707,1K,360,483
261425,11685,5K,120,1
261426,11685,5K,120,742
261427,11685,1K,60,704
261428,11685,1K,120,645
261429,11685,1K,120,623
261430,11685,4.50K,60,674
261431,6432,1,30,1210
261432,6432,1,15,62
261433,6432,16,15,904
261434,6432,1,15,218
261435,6432,4,15,314
261436,6432,1,15,111
261437,6432,1,15,185
261438,11685,2K,120,1030
261439,58707,1K,360,6711
261440,58707,1K,360,2902
261441,58707,1K,360,2902
261442,58707,1K,360,840
261443,11685,5K,120,742
261444,11685,1K,120,742
261445,11685,1K,120,736
261446,11685,1K,60,242
261447,11685,4.50K,60,3611
261448,11685,2K,120,744
261449,11685,1K,120,546
